timestamp,agent_id,status,last_heartbeat,messages_processed,errors_count,queue_size,average_processing_time_ms
2026-07-15T14:00:43.397809Z,supervisor@localhost,ready,2026-07-15T14:00:43.397809Z,374,0,0,1.937
2026-07-15T14:00:43.630659Z,maintenance@localhost,ready,2026-07-15T14:00:43.630659Z,9,0,0,13.731
2026-07-15T14:00:44.102997Z,rul@localhost,ready,2026-07-15T14:00:44.102997Z,10,0,0,360.08
2026-07-15T14:00:44.102997Z,diagnosis@localhost,ready,2026-07-15T14:00:44.102997Z,10,0,0,63.678
2026-07-15T14:00:44.193180Z,anomaly@localhost,ready,2026-07-15T14:00:44.193180Z,322,0,0,41.895
2026-07-15T14:00:44.450777Z,sensor@localhost,ready,2026-07-15T14:00:44.450777Z,0,0,0,0.0
2026-07-15T14:00:48.126136Z,historian@localhost,ready,2026-07-15T14:00:48.126136Z,752,0,0,0.761
2026-07-15T14:00:48.179372Z,alert@localhost,ready,2026-07-15T14:00:48.179372Z,2,0,0,2.566
2026-07-15T14:00:48.193854Z,resource@localhost,ready,2026-07-15T14:00:48.193854Z,20,0,0,2.787
2026-07-15T14:00:48.408522Z,supervisor@localhost,ready,2026-07-15T14:00:48.408522Z,451,0,0,1.929
2026-07-15T14:00:48.603023Z,maintenance@localhost,ready,2026-07-15T14:00:48.603023Z,11,0,0,13.654
2026-07-15T14:00:49.137611Z,rul@localhost,ready,2026-07-15T14:00:49.137611Z,12,0,0,358.08
2026-07-15T14:00:49.195081Z,diagnosis@localhost,ready,2026-07-15T14:00:49.195081Z,12,0,0,63.013
2026-07-15T14:00:49.200307Z,anomaly@localhost,ready,2026-07-15T14:00:49.200307Z,389,0,0,41.83
2026-07-15T14:00:49.422496Z,sensor@localhost,ready,2026-07-15T14:00:49.422496Z,0,0,0,0.0
2026-07-15T14:00:53.096046Z,historian@localhost,ready,2026-07-15T14:00:53.096046Z,881,0,0,0.77
2026-07-15T14:00:53.151596Z,alert@localhost,ready,2026-07-15T14:00:53.151596Z,2,0,0,2.566
2026-07-15T14:00:53.166091Z,resource@localhost,ready,2026-07-15T14:00:53.166091Z,24,0,0,2.756
2026-07-15T14:00:53.399689Z,supervisor@localhost,ready,2026-07-15T14:00:53.399689Z,526,0,0,1.939
2026-07-15T14:00:53.596360Z,maintenance@localhost,ready,2026-07-15T14:00:53.596360Z,13,0,0,13.669
2026-07-15T14:00:53.790413Z,rul@localhost,ready,2026-07-15T14:00:53.790413Z,13,0,0,357.375
2026-07-15T14:00:53.977966Z,diagnosis@localhost,ready,2026-07-15T14:00:53.977966Z,13,0,0,63.23
2026-07-15T14:00:54.214193Z,anomaly@localhost,ready,2026-07-15T14:00:54.214193Z,460,0,0,41.993
2026-07-15T14:00:54.411651Z,sensor@localhost,ready,2026-07-15T14:00:54.411651Z,0,0,0,0.0
2026-07-15T14:00:58.116882Z,historian@localhost,ready,2026-07-15T14:00:58.116882Z,1033,0,0,0.783
2026-07-15T14:00:58.116882Z,alert@localhost,ready,2026-07-15T14:00:58.116882Z,2,0,0,2.566
2026-07-15T14:00:58.179352Z,resource@localhost,ready,2026-07-15T14:00:58.179352Z,26,0,0,2.75
2026-07-15T14:00:58.366884Z,supervisor@localhost,ready,2026-07-15T14:00:58.366884Z,614,0,0,1.944
2026-07-15T14:00:58.589516Z,maintenance@localhost,ready,2026-07-15T14:00:58.589516Z,14,0,0,13.636
2026-07-15T14:00:58.797457Z,rul@localhost,ready,2026-07-15T14:00:58.797457Z,14,0,0,356.999
2026-07-15T14:00:58.972270Z,diagnosis@localhost,ready,2026-07-15T14:00:58.972270Z,15,0,0,62.906
2026-07-15T14:00:59.447851Z,sensor@localhost,ready,2026-07-15T14:00:59.447851Z,0,0,0,0.0
2026-07-15T14:00:59.447851Z,anomaly@localhost,ready,2026-07-15T14:00:59.447851Z,536,0,0,41.96
2026-07-15T14:01:02.819596Z,historian@localhost,ready,2026-07-15T14:01:02.819596Z,1155,0,0,0.802
